Training Partition
Total # of instances, 162770
Attribute Index, Attribute Name, # of Positives,  % of Positives, # of Negatives, % of Negatives
18, Heavy_Makeup, 8084, 0.4049694419396854, 11878, 0.5950305580603146
19, High_Cheekbones, 9618, 0.4818154493537722, 10344, 0.5181845506462278
20, Male, 7715, 0.38648432020839596, 12247, 0.613515679791604
21, Mouth_Slightly_Open, 9883, 0.49509067227732695, 10079, 0.504909327722673
22, Mustache, 772, 0.0386734796112614, 19190, 0.9613265203887386
23, Narrow_Eyes, 2968, 0.14868249674381326, 16994, 0.8513175032561867
24, No_Beard, 17041, 0.8536719767558361, 2921, 0.14632802324416394
25, Oval_Face, 5901, 0.29561166215810036, 14061, 0.7043883378418996
26, Pale_Skin, 840, 0.04207995190862639, 19122, 0.9579200480913737
27, Pointy_Nose, 5704, 0.2857429115319106, 14258, 0.7142570884680894
28, Receding_Hairline, 1694, 0.08486123634906322, 18268, 0.9151387636509368
29, Rosy_Cheeks, 1432, 0.07173629896803928, 18530, 0.9282637010319608
30, Sideburns, 926, 0.04638813746117623, 19036, 0.9536118625388238
31, Smiling, 9987, 0.5003005710850617, 9975, 0.49969942891493835
32, Straight_Hair, 4190, 0.20989880773469594, 15772, 0.7901011922653041
33, Wavy_Hair, 7267, 0.3640416791904619, 12695, 0.6359583208095381
34, Wearing_Earrings, 4125, 0.20664262097986175, 15837, 0.7933573790201383
35, Wearing_Hat, 839, 0.04202985672778279, 19123, 0.9579701432722172
36, Wearing_Lipstick, 10418, 0.5218915940286545, 9544, 0.4781084059713455
37, Wearing_Necklace, 2753, 0.13791203286243864, 17209, 0.8620879671375614
38, Wearing_Necktie, 1399, 0.07008315800020037, 18563, 0.9299168419997996
39, Young, 15114, 0.7571385632702134, 4848, 0.24286143672978655

Validation Partition (not used)
Total # of instances, 19867
Attribute Index, Attribute Name, # of Positives,  % of Positives, # of Negatives, % of Negatives
0, 5_o_Clock_Shadow, 2345, 0.11803493229979363, 17522, 0.8819650677002063
1, Arched_Eyebrows, 5134, 0.25841848291136055, 14733, 0.7415815170886395
2, Attractive, 10332, 0.5200583882820758, 9535, 0.47994161171792415
3, Bags_Under_Eyes, 4121, 0.2074294055468868, 15746, 0.7925705944531132
4, Bald, 411, 0.02068757235616852, 19456, 0.9793124276438315
5, Bangs, 2915, 0.1467257260784215, 16952, 0.8532742739215785
6, Big_Lips, 3044, 0.15321890572305835, 16823, 0.8467810942769416
7, Big_Nose, 4943, 0.24880455025922385, 14924, 0.7511954497407761
8, Black_Hair, 4144, 0.20858710424321739, 15723, 0.7914128957567826
9, Blond_Hair, 3056, 0.15382292243418735, 16811, 0.8461770775658126
10, Blurry, 940, 0.047314642371772284, 18927, 0.9526853576282277
11, Brown_Hair, 4793, 0.24125434137011123, 15074, 0.7587456586298887
12, Bushy_Eyebrows, 2831, 0.14249760910051845, 17036, 0.8575023908994815
13, Chubby, 1216, 0.06120702672773947, 18651, 0.9387929732722605
14, Double_Chin, 975, 0.049076357779231895, 18892, 0.9509236422207681
15, Eyeglasses, 1383, 0.06961292595761816, 18484, 0.9303870740423819
16, Goatee, 1464, 0.07369003875773897, 18403, 0.9263099612422611
17, Gray_Hair, 967, 0.04867367997181255, 18900, 0.9513263200281874
18, Heavy_Makeup, 7751, 0.3901444606634117, 12116, 0.6098555393365883
19, High_Cheekbones, 8926, 0.44928776362812706, 10941, 0.5507122363718729
20, Male, 8458, 0.42573111189409574, 11409, 0.5742688881059043
21, Mouth_Slightly_Open, 9573, 0.4818543313031661, 10294, 0.518145668696834
22, Mustache, 1003, 0.05048573010519958, 18864, 0.9495142698948005
23, Narrow_Eyes, 1492, 0.07509941108370664, 18375, 0.9249005889162933
24, No_Beard, 16338, 0.8223687522021442, 3529, 0.17763124779785577
25, Oval_Face, 5565, 0.2801127497860774, 14302, 0.7198872502139226
26, Pale_Skin, 856, 0.04308652539386923, 19011, 0.9569134746061307
27, Pointy_Nose, 5660, 0.2848945487491821, 14207, 0.7151054512508179
28, Receding_Hairline, 1429, 0.07192832335027936, 18438, 0.9280716766497207
29, Rosy_Cheeks, 1358, 0.06835455780943273, 18509, 0.9316454421905673
30, Sideburns, 1367, 0.06880757034277948, 18500, 0.9311924296572205
31, Smiling, 9602, 0.48331403835506115, 10265, 0.5166859616449389
32, Straight_Hair, 4085, 0.20561735541349976, 15782, 0.7943826445865002
33, Wavy_Hair, 5495, 0.2765893189711582, 14372, 0.7234106810288419
34, Wearing_Earrings, 3789, 0.19071827653898424, 16078, 0.8092817234610158
35, Wearing_Hat, 940, 0.047314642371772284, 18927, 0.9526853576282277
36, Wearing_Lipstick, 8860, 0.4459656717169175, 11007, 0.5540343282830825
37, Wearing_Necklace, 2396, 0.12060200332209191, 17471, 0.8793979966779081
38, Wearing_Necktie, 1443, 0.0726330095132632, 18424, 0.9273669904867368
39, Young, 14832, 0.7465646549554538, 5035, 0.25343534504454623

